i,tag,rp_cov8,rp_cov30,rp_longest,rp_nspans8,ex_cov8,ex_cov30,ex_longest,ex_nspans8,tok_n,tok_cov4,tok_cov8,tok_cov16,tok_cov24,tok_longest,tok_nspans4,harvest_frac,speedup
54,RESEARCH_SUMMARY_TEXT,0.8092,0.0465,40,47,0.8221,0.0379,40,58,300,0.1467,0.0267,0.0,0.0,8,9,0.0533,0.74
55,RESEARCH_SUMMARY_TEXT,0.779,0.0864,74,50,0.8327,0.1143,74,33,386,0.2202,0.0544,0.0544,0.0,21,12,0.1036,0.951
56,RESEARCH_SUMMARY_TEXT,0.6344,0.0133,36,79,0.6314,0.0136,36,83,603,0.0614,0.0149,0.0,0.0,9,8,0.0216,0.756
57,RESEARCH_SUMMARY_TEXT,0.8035,0.1818,102,73,0.8504,0.1767,87,56,551,0.3194,0.1597,0.0672,0.0,20,23,0.1887,0.72
58,RESEARCH_SUMMARY_TEXT,0.8623,0.2432,99,90,0.8789,0.2739,99,64,748,0.2781,0.1257,0.0468,0.0,19,27,0.1524,0.877
59,RESEARCH_SUMMARY_TEXT,0.8672,0.1693,81,60,0.8511,0.1469,81,70,592,0.2973,0.0659,0.0287,0.0,17,28,0.1267,0.831
60,FINAL_REPORT_MARKDOWN,0.86,0.7986,138,74,0.8692,0.8074,138,95,3806,0.8263,0.7898,0.7475,0.6839,85,124,0.7231,2.525
61,FINAL_REPORT_MARKDOWN,0.8496,0.7657,206,91,0.8103,0.6668,194,104,4186,0.8235,0.7573,0.7038,0.5774,140,146,0.7105,2.906
62,FINAL_REPORT_MARKDOWN,0.6913,0.4928,104,54,0.7057,0.5389,104,66,1829,0.6621,0.5353,0.4418,0.3007,40,84,0.5036,1.443
63,FINAL_REPORT_MARKDOWN,0.8964,0.8227,145,143,0.8722,0.7558,133,92,5953,0.8461,0.8194,0.7731,0.6392,67,191,0.7448,2.362
64,FINAL_REPORT_MARKDOWN,0.8557,0.7573,275,80,0.8573,0.7422,275,81,2854,0.8048,0.7463,0.692,0.487,190,103,0.6885,2.031
65,FINAL_REPORT_MARKDOWN,0.8945,0.7967,125,82,0.8779,0.7598,125,86,3099,0.8264,0.7796,0.7338,0.5757,49,118,0.7086,2.398
66,FINAL_REPORT_MARKDOWN,0.8332,0.7089,399,94,0.8238,0.7022,507,99,3564,0.7851,0.7368,0.624,0.4708,307,122,0.6754,2.165
67,FINAL_REPORT_MARKDOWN,0.8509,0.7293,182,93,0.8088,0.635,182,101,3654,0.8478,0.8005,0.7313,0.6552,119,110,0.7427,2.027
